rownames,Date,Stock Price Daily Change,Stock
84,8/31/2015,-0.01924237,Google Stock
85,5/4/2015,0.002940772,SP500 Stocks
86,5/5/2015,-0.01183737,SP500 Stocks
87,5/6/2015,-0.004455697,SP500 Stocks
88,5/7/2015,0.003773766,SP500 Stocks
89,5/8/2015,0.013457854,SP500 Stocks
90,5/11/2015,-0.005089552,SP500 Stocks
91,5/12/2015,-0.002949656,SP500 Stocks
92,5/13/2015,-3.05E-04,SP500 Stocks
93,5/14/2015,0.010779231,SP500 Stocks
94,5/15/2015,7.68E-04,SP500 Stocks
95,5/18/2015,0.003047962,SP500 Stocks
96,5/19/2015,-6.43E-04,SP500 Stocks
97,5/20/2015,-9.31E-04,SP500 Stocks
98,5/21/2015,0.002337888,SP500 Stocks
99,5/22/2015,-0.002233882,SP500 Stocks
100,5/26/2015,-0.01028193,SP500 Stocks
101,5/27/2015,0.009162627,SP500 Stocks
102,5/28/2015,-0.001266788,SP500 Stocks
103,5/29/2015,-0.0063184,SP500 Stocks
104,6/1/2015,0.002059419,SP500 Stocks
105,6/2/2015,-0.001008652,SP500 Stocks
106,6/3/2015,0.002118885,SP500 Stocks
107,6/4/2015,-0.008623177,SP500 Stocks
108,6/5/2015,-0.001436178,SP500 Stocks
109,6/8/2015,-0.006474487,SP500 Stocks
110,6/9/2015,4.18E-04,SP500 Stocks
111,6/10/2015,0.012042401,SP500 Stocks
112,6/11/2015,0.001738552,SP500 Stocks
113,6/12/2015,-0.0069943,SP500 Stocks
114,6/15/2015,-0.004622489,SP500 Stocks
115,6/16/2015,0.005689805,SP500 Stocks
116,6/17/2015,0.001979688,SP500 Stocks
117,6/18/2015,0.009902687,SP500 Stocks
118,6/19/2015,-0.005303502,SP500 Stocks
119,6/22/2015,0.006094816,SP500 Stocks
120,6/23/2015,6.36E-04,SP500 Stocks
121,6/24/2015,-0.007353357,SP500 Stocks
122,6/25/2015,-0.002973565,SP500 Stocks
123,6/26/2015,-3.90E-04,SP500 Stocks
124,6/29/2015,-0.020866147,SP500 Stocks
125,6/30/2015,0.002658385,SP500 Stocks
126,7/1/2015,0.00693613,SP500 Stocks
127,7/2/2015,-3.08E-04,SP500 Stocks
128,7/6/2015,-0.003861748,SP500 Stocks
129,7/7/2015,0.006080937,SP500 Stocks
130,7/8/2015,-0.016652733,SP500 Stocks
131,7/9/2015,0.0022622,SP500 Stocks
132,7/10/2015,0.012338457,SP500 Stocks
133,7/13/2015,0.011066059,SP500 Stocks
134,7/14/2015,0.004453229,SP500 Stocks
135,7/15/2015,-7.35E-04,SP500 Stocks
136,7/16/2015,0.008014615,SP500 Stocks
137,7/17/2015,0.001106252,SP500 Stocks
138,7/20/2015,7.71E-04,SP500 Stocks
139,7/21/2015,-0.004261657,SP500 Stocks
140,7/22/2015,-0.002387682,SP500 Stocks
141,7/23/2015,-0.00567604,SP500 Stocks
142,7/24/2015,-0.010703328,SP500 Stocks
143,7/27/2015,-0.00577501,SP500 Stocks
144,7/28/2015,0.012386102,SP500 Stocks
145,7/29/2015,0.007318763,SP500 Stocks
146,7/30/2015,2.85E-05,SP500 Stocks
147,7/31/2015,-0.002271617,SP500 Stocks
148,8/3/2015,-0.002756864,SP500 Stocks
149,8/4/2015,-0.002249719,SP500 Stocks
150,8/5/2015,0.00311467,SP500 Stocks
151,8/6/2015,-0.007752972,SP500 Stocks
152,8/7/2015,-0.002874887,SP500 Stocks
153,8/10/2015,0.012808233,SP500 Stocks
154,8/11/2015,-0.009557167,SP500 Stocks
155,8/12/2015,9.50E-04,SP500 Stocks
156,8/13/2015,-0.001275137,SP500 Stocks
157,8/14/2015,0.003911894,SP500 Stocks
158,8/17/2015,0.005211471,SP500 Stocks
159,8/18/2015,-0.002625521,SP500 Stocks
160,8/19/2015,-0.008254964,SP500 Stocks
161,8/20/2015,-0.02110011,SP500 Stocks
162,8/21/2015,-0.031850982,SP500 Stocks
163,8/24/2015,-0.039413666,SP500 Stocks
164,8/25/2015,-0.013522008,SP500 Stocks
165,8/26/2015,0.039033845,SP500 Stocks
166,8/27/2015,0.024297736,SP500 Stocks
167,8/28/2015,6.09E-04,SP500 Stocks
168,8/31/2015,-0.0083917,SP500 Stocks
