Carat Weight,Color,Clarity,Depth,Table,Cut,Report,Price
0.37,D,VS1,60.9,61,Excellent,GIA,1077
0.54,H,SI2,60.6,58,Very Good,GIA,1077
0.46,D,VS2,63,57,Excellent,GIA,1077
0.57,J,VS2,61.9,56,Very Good,GIA,1077
0.36,G,VVS1,60.5,58,Excellent,GIA,1077
0.38,E,VS1,61.5,56,Ideal,GIA,1078
0.34,F,IF,62.9,56,Excellent,GIA,1078
0.31,E,VVS1,61.9,56,Ideal,GIA,1078
0.52,E,SI2,61.7,58,Excellent,GIA,1078
0.5,I,VS2,59.4,59,Very Good,GIA,1078
0.44,G,VVS2,61.6,59,Excellent,GIA,1099
0.35,G,IF,61.6,57,Ideal,GIA,1099
0.35,E,VVS2,59.4,60,Excellent,GIA,1099
0.55,G,SI1,63.1,57,Excellent,GIA,1099
0.32,F,IF,60.9,57,Ideal,GIA,1100
0.32,F,IF,61,58,Excellent,GIA,1100
0.33,F,VVS1,61.8,56,Excellent,GIA,1100
0.46,E,VS2,62.5,57,Good,GIA,1100
0.42,F,VVS2,62,61,Very Good,GIA,1100
0.44,F,VS2,61.6,60,Excellent,GIA,1100
0.5,E,SI1,61.5,60,Good,GIA,1101
0.4,F,VVS2,62.7,56,Excellent,GIA,1101
0.39,G,IF,59.3,61,Excellent,GIA,1101
0.62,K,VS1,62.5,54,Excellent,GIA,1101
0.3,E,IF,61.1,59,Very Good,GIA,1101
0.43,F,VS1,62.8,57,Very Good,GIA,1102
0.4,E,VS1,61.6,60,Excellent,GIA,1102
0.4,E,VS1,62.4,56,Very Good,GIA,1102
0.4,E,VS1,60.6,60,Excellent,GIA,1102
0.64,J,SI1,62.1,56,Excellent,GIA,1102
0.4,E,VS1,61.8,55,Excellent,GIA,1102
0.4,E,VS1,62.2,57,Very Good,GIA,1102
0.4,E,VS1,61.4,58,Excellent,GIA,1102
0.4,E,VS1,61.3,59,Excellent,GIA,1102
0.4,E,VS1,61.5,57,Excellent,GIA,1102
0.57,F,SI2,62.1,59,Very Good,GIA,1129
0.57,H,SI1,62.1,59,Excellent,GIA,1129
0.57,H,SI1,62.6,58,Very Good,GIA,1129
0.36,G,VVS1,60.1,57,Excellent,GIA,1129
0.4,F,VS1,63.7,63,Good,GIA,1129
0.34,F,IF,62.3,56,Excellent,GIA,1129
0.54,H,SI1,61.7,59,Excellent,GIA,1129
0.51,E,SI2,59.4,58,Very Good,GIA,1129
0.45,F,VS1,62.6,57,Excellent,GIA,1129
0.34,G,IF,58.8,59,Excellent,GIA,1129
0.34,F,VVS1,62.5,56,Excellent,GIA,1129
0.4,G,VVS1,63.2,58,Very Good,GIA,1130
0.4,F,VVS2,62.6,56,Excellent,GIA,1130
0.41,E,VS1,62.4,57,Excellent,GIA,1130
0.41,E,VS1,62.6,58,Excellent,GIA,1130
0.41,E,VS1,62.3,57,Excellent,GIA,1130
0.41,E,VS1,62.1,56,Excellent,GIA,1130
0.41,E,VS1,61,56,Excellent,GIA,1130
0.41,E,VS1,61.2,57,Excellent,GIA,1130
0.41,E,VS1,61.9,55,Excellent,GIA,1130
0.41,E,VS1,62.2,58,Very Good,GIA,1130
0.41,E,VS1,62.8,56,Excellent,GIA,1130
0.41,E,VVS2,61.9,59,Excellent,GIA,1130
0.41,E,VS1,62.2,60,Excellent,GIA,1130
0.41,E,VS1,61.2,60,Very Good,GIA,1130
0.41,F,VVS1,61.2,58,Excellent,GIA,1154
0.38,E,IF,62.2,57,Excellent,GIA,1154
0.38,E,IF,61.3,58,Excellent,GIA,1154
0.41,F,VVS1,62.7,55,Very Good,GIA,1154
0.41,F,VVS1,61.3,59,Very Good,GIA,1154
0.41,G,IF,63.9,57,Very Good,GIA,1154
0.41,F,VVS1,60.6,58,Excellent,GIA,1154
0.41,D,VVS2,59.9,57,Excellent,GIA,1154
0.41,D,VVS2,63.1,55,Very Good,GIA,1154
0.32,E,IF,59.7,59,Excellent,GIA,1155
0.32,E,IF,61.4,57,Ideal,GIA,1155
0.42,D,VS1,63,56,Very Good,GIA,1155
0.54,G,SI1,59.4,60,Very Good,GIA,1155
0.54,G,VS2,59.5,65,Very Good,GIA,1155
0.61,J,VS2,61.1,58,Excellent,GIA,1155
0.41,F,VS1,62,56,Excellent,GIA,1155
0.5,E,SI2,59.7,59,Very Good,GIA,1156
0.5,E,SI2,62.2,61,Very Good,GIA,1156
0.5,E,SI2,62.8,60,Very Good,GIA,1156
0.51,F,SI1,60.2,60,Excellent,GIA,1156
0.35,G,IF,60.3,57,Ideal,GIA,1156
0.45,I,VVS1,62.1,57,Excellent,GIA,1156
0.4,E,VVS1,63.1,54,Very Good,GIA,1156
0.4,E,VVS1,62.9,59,Very Good,GIA,1156
0.4,E,VVS1,62.8,58,Very Good,GIA,1156
0.4,D,VVS2,62.9,56,Very Good,GIA,1171
0.3,D,IF,64.2,56,Very Good,GIA,1171
0.3,D,IF,60.9,61,Very Good,GIA,1171
0.3,D,IF,61.7,58,Very Good,GIA,1171
0.5,H,VS2,62.7,57,Excellent,GIA,1171
0.51,E,SI1,63.6,58,Good,GIA,1172
0.51,G,VS2,62.5,57,Very Good,GIA,1172
0.51,E,SI1,63.2,60,Very Good,GIA,1172
0.51,E,SI1,63.3,54,Very Good,GIA,1172
0.51,G,VS2,63.3,56,Very Good,GIA,1172
0.52,F,SI1,59.4,58,Very Good,GIA,1172
0.45,G,VVS2,59.8,58,Excellent,GIA,1172
0.52,H,SI1,62,57,Excellent,GIA,1172
0.47,I,VVS1,61.7,58,Excellent,GIA,1172
0.47,G,VS1,59.9,58,Very Good,GIA,1172
0.4,F,VS1,60.5,58,Excellent,GIA,1173
0.37,H,IF,62.4,57,Excellent,GIA,1173
0.53,E,SI1,60.1,59,Very Good,GIA,1173
0.33,E,IF,61.3,58,Excellent,GIA,1173
0.51,H,SI1,61.6,56,Excellent,GIA,1173
0.38,E,IF,59,59,Excellent,GIA,1173
0.47,G,VVS2,63,56,Very Good,GIA,1174
0.35,G,IF,62.2,56,Excellent,GIA,1174
0.35,G,IF,60,57,Excellent,GIA,1174
0.44,E,VVS1,61.9,58,Very Good,GIA,1174
0.31,D,IF,61.5,56,Ideal,GIA,1193
0.6,J,VS1,64.2,56,Very Good,GIA,1193
0.42,G,VVS1,62.5,55,Very Good,GIA,1193
0.42,F,VVS2,61.5,57,Excellent,GIA,1193
0.42,G,VVS1,62.7,60,Very Good,GIA,1193
0.42,G,VVS1,60.9,57,Very Good,GIA,1193
0.42,G,VVS1,60.4,59,Very Good,GIA,1193
0.5,I,VS1,62.6,60,Very Good,GIA,1194
0.53,F,VS2,58.1,60,Very Good,GIA,1194
0.5,E,SI1,60.9,54,Excellent,GIA,1194
0.44,E,VVS2,61.3,57,Excellent,GIA,1194
0.53,F,SI1,62.9,58,Very Good,GIA,1194
0.5,G,VS2,62.8,58,Very Good,GIA,1194
0.4,D,VS1,62.9,57,Very Good,GIA,1194
0.43,E,VS1,61.4,58,Excellent,GIA,1194
0.42,D,VS1,62.2,57,Excellent,GIA,1194
0.52,E,SI1,60.2,58,Very Good,GIA,1194
0.35,D,VVS1,60.8,59,Excellent,GIA,1195
0.35,D,VVS1,61.9,59,Excellent,GIA,1195
0.51,H,VS2,62.7,60,Very Good,GIA,1195
0.51,H,VS2,62.2,58,Excellent,GIA,1195
0.51,G,SI1,62.6,55,Excellent,GIA,1195
0.51,D,SI2,61.7,57,Excellent,GIA,1195
0.55,H,VS2,62.5,60,Very Good,GIA,1195
0.41,E,VVS2,62.4,56,Excellent,GIA,1195
0.33,E,IF,58.1,61,Very Good,GIA,1215
0.56,F,SI2,61.5,56,Excellent,GIA,1215
0.6,F,SI2,62.5,58,Very Good,GIA,1215
0.4,D,VVS2,63.5,57,Very Good,GIA,1215
0.4,F,VVS1,63.2,58,Very Good,GIA,1215
0.4,F,VVS1,62.8,58,Excellent,GIA,1215
0.4,D,VVS2,60.5,59,Excellent,GIA,1215
0.4,G,IF,61.9,56,Very Good,GIA,1215
0.4,D,VVS2,61.1,57,Very Good,GIA,1215
0.52,D,SI2,62.7,56,Very Good,GIA,1215
0.4,F,VVS1,60.8,60,Very Good,GIA,1215
0.4,F,VVS1,60.8,56,Ideal,GIA,1215
0.4,F,VVS1,60.8,58,Excellent,GIA,1215
0.4,F,VVS1,61.1,58,Excellent,GIA,1215
0.4,F,VVS1,61.3,58,Excellent,GIA,1215
0.65,J,VS2,62.5,58,Excellent,GIA,1215
0.4,F,VVS1,63.1,56,Very Good,GIA,1215
0.4,F,VVS1,63.9,57,Very Good,GIA,1215
0.4,D,VVS2,61,59,Excellent,GIA,1215
0.43,E,VS1,62.2,57,Excellent,GIA,1215
0.44,D,VS1,62.2,59,Excellent,GIA,1216
0.41,I,IF,60.1,57,Ideal,GIA,1216
0.4,E,VS1,63.7,57,Very Good,GIA,1216
0.4,G,VVS1,60.3,57,Excellent,GIA,1216
0.4,G,VVS1,61.2,60,Excellent,GIA,1216
0.42,F,VVS1,60.6,58,Excellent,GIA,1237
0.38,F,VVS1,61.3,58,Excellent,GIA,1237
0.62,J,VS1,63.1,60,Good,GIA,1237
0.38,F,VVS1,60,57,Ideal,GIA,1237
0.42,D,VS1,61.3,58,Excellent,GIA,1238
0.54,E,SI2,62.1,56,Very Good,GIA,1238
0.4,D,VVS2,60.4,59,Very Good,GIA,1238
0.4,F,VVS1,59.7,60,Excellent,GIA,1239
0.4,F,VVS1,58.7,62,Excellent,GIA,1239
0.4,F,VVS1,59.9,61,Excellent,GIA,1239
0.47,D,VS1,62.4,56,Excellent,GIA,1239
0.44,F,VVS1,62.9,55,Excellent,GIA,1239
0.56,G,SI1,61.3,58,Very Good,GIA,1239
0.4,E,VVS2,61.2,55,Ideal,GIA,1239
0.61,F,SI1,63.8,60,Very Good,GIA,1239
0.41,E,VVS2,59,57,Very Good,GIA,1239
0.54,D,SI2,59.8,60,Excellent,GIA,1239
0.5,J,VVS1,63.1,58,Very Good,GIA,1239
0.6,I,VS2,62,56,Excellent,GIA,1239
0.57,E,SI2,63.5,60,Very Good,GIA,1240
0.58,G,SI1,60.8,58,Excellent,GIA,1240
0.49,F,VS1,61.1,55,Very Good,GIA,1240
0.43,F,VVS1,60.8,58,Very Good,GIA,1240
0.61,I,VS1,63.4,62,Good,GIA,1240
0.5,D,SI1,63.1,60,Very Good,GIA,1240
0.41,F,VVS1,59.3,61,Excellent,GIA,1269
0.4,E,VVS2,62.2,58,Excellent,GIA,1269
0.45,G,VVS1,62.8,56,Excellent,GIA,1270
0.45,F,VVS2,60.8,56,Excellent,GIA,1270
0.45,G,VVS1,61.6,56,Ideal,GIA,1270
0.45,F,VVS2,61.8,59,Excellent,GIA,1270
0.33,D,IF,62.8,55,Very Good,GIA,1270
0.38,E,VVS1,62.2,57,Excellent,GIA,1270
0.38,E,VVS1,60.3,58,Excellent,GIA,1270
0.37,E,VVS1,60.3,57,Ideal,GIA,1270
0.46,F,VS1,59.9,59,Excellent,GIA,1270
0.39,F,VVS1,61.3,57,Ideal,GIA,1270
0.71,K,VS2,60.4,62,Very Good,GIA,1271
0.52,E,SI1,63.2,56,Very Good,GIA,1271
0.58,E,SI1,62.9,57,Very Good,GIA,1271
0.58,E,SI1,63.1,56,Very Good,GIA,1271
0.53,E,SI1,60.6,58,Excellent,GIA,1272
0.35,F,IF,61.7,58,Excellent,GIA,1272
0.37,G,IF,62.3,57,Excellent,GIA,1272
0.41,E,VVS1,61.1,56,Ideal,GIA,1272
0.51,G,VS2,62.3,59,Very Good,GIA,1273
0.51,G,VS2,61.5,60,Very Good,GIA,1273
0.39,E,VVS1,59,60,Excellent,GIA,1273
0.47,F,VVS2,64.2,57,Very Good,GIA,1273
0.56,F,SI1,61.4,62,Very Good,GIA,1273
0.51,H,VS1,61.7,60,Very Good,GIA,1302
0.6,J,VS1,62,58,Excellent,GIA,1302
0.72,K,VS2,63.3,56,Very Good,GIA,1303
0.52,D,SI1,59.9,61,Very Good,GIA,1303
0.5,E,SI1,60.3,60,Very Good,GIA,1303
0.41,F,IF,60.9,60,Excellent,GIA,1303
0.5,E,SI1,62.4,57,Excellent,GIA,1303
0.42,E,VVS1,62.1,56,Excellent,GIA,1303
0.39,F,IF,61.8,56,Ideal,GIA,1304
0.61,E,SI2,60.5,64,Good,GIA,1304
0.61,G,SI1,62.2,58,Excellent,GIA,1304
0.58,D,SI1,59.9,61,Very Good,GIA,1304
0.43,G,IF,62.5,55,Excellent,GIA,1304
0.43,F,VVS1,62.4,57,Very Good,GIA,1304
0.43,F,VVS1,61.8,56,Excellent,GIA,1304
0.43,F,VVS1,61.3,59,Excellent,GIA,1304
0.5,H,VS2,62,60,Very Good,GIA,1304
0.4,D,VVS1,63.3,57,Very Good,GIA,1304
0.4,E,IF,60.5,59,Very Good,GIA,1304
0.4,E,IF,59.6,61,Very Good,GIA,1304
0.4,D,VVS1,61.3,60,Very Good,GIA,1304
0.4,D,VVS1,60.7,58,Excellent,GIA,1304
0.4,D,VVS1,61,59,Excellent,GIA,1304
0.4,D,VVS1,59.9,59,Excellent,GIA,1304
0.5,D,SI1,60,61,Very Good,GIA,1305
0.4,E,VVS1,62.2,55,Excellent,GIA,1334
0.4,E,VVS1,61.2,60,Excellent,GIA,1334
0.4,E,VVS1,61.7,59,Excellent,GIA,1334
0.5,H,VS1,62.5,55,Very Good,GIA,1334
0.7,H,SI2,63.9,57,Very Good,GIA,1334
0.47,F,VS1,61.5,57,Ideal,GIA,1334
0.44,F,VVS1,61.6,57,Excellent,GIA,1334
0.5,J,IF,58,60,Good,GIA,1334
0.39,E,IF,61.8,57,Ideal,GIA,1335
0.49,E,VS2,61.5,58,Excellent,GIA,1335
0.53,D,SI1,63,58,Very Good,GIA,1335
0.6,J,VVS2,62.8,59,Very Good,GIA,1335
0.6,I,VS2,61.8,59,Very Good,GIA,1335
0.47,D,VS2,60.2,58,Excellent,GIA,1336
0.54,E,SI1,62.5,54,Very Good,GIA,1336
0.7,K,VS1,63,57,Very Good,GIA,1336
0.54,E,SI1,61.5,60,Very Good,GIA,1336
0.43,F,VVS1,61.7,57,Ideal,GIA,1336
0.43,F,VVS1,59.3,60,Excellent,GIA,1336
0.71,J,VS2,62.7,56,Good,GIA,1336
0.64,H,SI1,62.9,59,Good,GIA,1336
0.56,G,SI1,62.1,58,Excellent,GIA,1336
0.56,G,SI1,62,58,Excellent,GIA,1336
0.56,G,SI1,60.9,58,Excellent,GIA,1336
0.5,F,SI1,60.4,59,Excellent,GIA,1336
0.5,I,VVS2,60.3,60,Excellent,GIA,1366
0.6,H,VS2,60,58,Very Good,GIA,1367
0.38,E,IF,61.9,57,Ideal,GIA,1367
0.5,J,VVS1,59.8,61,Very Good,GIA,1367
0.41,E,VVS1,61.7,56,Ideal,GIA,1367
0.53,G,VS2,62.5,58,Excellent,GIA,1367
0.42,G,IF,62,57,Excellent,GIA,1367
0.42,G,IF,62.4,56,Excellent,GIA,1367
0.43,H,VVS1,61.1,58,Excellent,GIA,1368
0.61,E,SI2,63,56,Excellent,GIA,1368
0.4,F,VS1,59.4,60,Very Good,GIA,1368
0.5,F,VS1,61.6,62,Very Good,GIA,1368
0.6,G,SI1,61.5,58,Excellent,GIA,1368
0.6,G,SI1,62.5,57,Very Good,GIA,1368
0.6,G,SI2,60.9,59,Excellent,GIA,1368
0.6,G,SI2,61.2,58,Excellent,GIA,1368
0.6,G,SI2,62.5,56,Excellent,GIA,1368
0.6,G,SI2,61.8,58,Excellent,GIA,1368
0.45,E,VS1,62.1,57,Excellent,GIA,1368
0.51,H,VS2,60.8,59,Excellent,GIA,1368
0.5,D,SI1,60.9,60,Very Good,GIA,1368
0.5,F,VS2,60.7,62,Very Good,GIA,1368
0.51,G,VS1,60.2,63,Good,GIA,1369
0.4,D,VVS2,61.8,58,Excellent,GIA,1369
0.44,F,IF,61.3,58,Excellent,GIA,1369
0.47,E,VVS2,63.1,58,Very Good,GIA,1400
0.54,F,VS2,62.1,55,Excellent,GIA,1400
0.7,J,SI1,62.4,58,Very Good,GIA,1400
0.7,K,VS1,60.7,60,Very Good,GIA,1400
0.54,F,VS2,63,58,Very Good,GIA,1400
0.7,J,SI1,62.9,57,Very Good,GIA,1400
0.7,J,SI1,62.1,56,Excellent,GIA,1400
0.7,I,SI2,59.4,59,Very Good,GIA,1400
0.7,J,SI1,62.3,57,Very Good,GIA,1400
0.7,J,SI1,62.6,57,Very Good,GIA,1400
0.7,J,SI1,61.6,60,Very Good,GIA,1400
0.7,J,SI1,61.4,60,Very Good,GIA,1400
0.7,J,SI1,61.1,59,Very Good,GIA,1400
0.7,J,SI1,61.4,58,Excellent,GIA,1400
0.7,J,SI1,59.6,58,Very Good,GIA,1400
0.7,I,SI2,60.9,58,Very Good,GIA,1400
0.42,E,VVS1,62.5,56,Excellent,GIA,1400
0.42,E,VVS1,61.7,58,Excellent,GIA,1400
0.7,K,SI1,62.4,57,Excellent,GIA,1401
0.6,I,VS2,60.4,60,Excellent,GIA,1401
0.42,D,VVS2,59.7,60,Excellent,GIA,1401
0.38,F,IF,62,56,Excellent,GIA,1401
0.4,D,VVS2,61.7,58,Excellent,GIA,1401
0.42,E,VVS1,62.8,56,Excellent,GIA,1402
0.53,G,VS2,58.9,60,Excellent,GIA,1402
0.73,K,VS1,62.4,57,Excellent,GIA,1434
0.41,F,IF,62.6,57,Excellent,GIA,1434
0.48,D,VS2,59.7,58,Excellent,GIA,1434
0.43,E,VS1,62.4,55,Excellent,AGS,1434
0.43,E,VVS1,62.6,55,Excellent,GIA,1434
0.5,H,VVS2,61.6,57,Excellent,GIA,1434
0.5,G,VS1,63.7,56,Very Good,GIA,1434
0.5,E,VS2,61.7,57,Very Good,GIA,1434
0.41,D,VVS2,62.2,57,Excellent,GIA,1435
0.43,D,VVS2,61.6,57,Ideal,GIA,1435
0.58,E,SI1,62.7,58,Very Good,GIA,1435
0.58,E,SI1,61.2,60,Excellent,GIA,1435
0.58,E,SI1,61.9,59,Very Good,GIA,1435
0.64,E,SI2,62.3,57,Very Good,GIA,1435
0.5,F,VS1,62.7,59,Very Good,GIA,1436
0.73,I,SI2,63.4,60,Good,GIA,1436
0.73,J,SI1,62.3,57,Very Good,GIA,1436
0.7,K,VS2,60.8,59,Excellent,GIA,1436
0.45,H,IF,62.7,57,Excellent,GIA,1436
0.51,D,SI1,62.2,58,Very Good,GIA,1436
0.7,J,VS1,63.2,58,Good,GIA,1436
0.72,J,SI2,61.1,55,Excellent,GIA,1436
0.5,E,VS1,61.9,64,Good,GIA,1436
0.72,J,SI2,61.8,57,Excellent,GIA,1436
0.72,J,SI2,62.1,57,Excellent,GIA,1436
0.58,G,VS2,62.6,58,Very Good,GIA,1471
0.43,D,VVS2,61,59,Excellent,GIA,1471
0.72,J,SI2,61.6,55,Excellent,GIA,1471
0.5,F,VS2,59.2,60,Very Good,GIA,1472
0.5,F,VS2,62,57,Very Good,GIA,1472
0.5,F,VS2,60.3,61,Very Good,GIA,1472
0.52,D,SI1,62.7,56,Excellent,GIA,1472
0.5,F,VS1,63.7,56,Very Good,GIA,1472
0.5,F,VS1,64.1,58,Very Good,GIA,1472
0.5,D,VS2,62,57,Very Good,GIA,1472
0.41,F,IF,61.7,58,Excellent,GIA,1472
0.41,F,IF,62.7,56,Excellent,GIA,1472
0.41,F,IF,62.3,55,Excellent,GIA,1472
0.4,E,VVS1,60.7,58,Excellent,GIA,1473
0.43,E,IF,59.5,59,Excellent,GIA,1473
0.44,F,VVS1,62.6,56,Excellent,GIA,1473
0.72,I,SI2,62.7,56,Very Good,GIA,1473
0.71,J,VS2,62.9,59,Very Good,GIA,1473
0.51,E,VS2,63.4,57,Very Good,GIA,1473
0.73,J,SI1,58.8,61,Very Good,GIA,1473
0.74,K,VS2,61.2,56,Ideal,GIA,1473
0.52,E,VS2,62.3,56,Very Good,GIA,1474
0.42,D,VVS1,62.1,58,Excellent,GIA,1475
0.42,E,IF,60.6,58,Excellent,GIA,1475
0.42,D,VVS1,60.6,58,Very Good,GIA,1475
0.6,E,SI1,60.5,61,Good,GIA,1507
0.75,K,VS1,63.3,57,Very Good,GIA,1507
0.42,E,IF,61.5,54,Excellent,GIA,1507
0.5,E,VS2,62.1,56,Very Good,GIA,1508
0.5,E,VS2,59.1,60,Very Good,GIA,1508
0.5,E,VS2,61,56,Very Good,GIA,1508
0.5,E,VS2,62.6,55,Very Good,GIA,1508
0.56,H,VS1,62.1,56,Excellent,GIA,1508
0.5,H,VVS1,63.2,58,Very Good,GIA,1508
0.5,F,VS2,59.3,59,Very Good,GIA,1508
0.52,D,VS2,59.6,59,Very Good,GIA,1508
0.5,D,VS2,61.1,55,Very Good,GIA,1508
0.5,F,VS1,61.6,59,Excellent,GIA,1508
0.54,F,VS2,62.3,54,Excellent,GIA,1508
0.7,J,SI1,62.3,59,Very Good,GIA,1508
0.63,F,SI1,63.3,60,Good,GIA,1508
0.7,I,SI2,63.3,59,Very Good,GIA,1508
0.54,F,VS2,62.1,57,Very Good,GIA,1508
0.45,F,IF,61.8,57,Ideal,GIA,1508
0.54,F,VS2,60.1,59,Excellent,GIA,1508
0.54,F,VS2,62.8,55,Very Good,GIA,1508
0.45,F,IF,61.5,57,Ideal,GIA,1508
0.7,I,SI2,60.7,57,Excellent,GIA,1508
0.54,F,VS2,60.7,58,Excellent,GIA,1508
